School,SIS ID,Class,Test 1 Num Correct,Test 1 Num Correct,Test 2 Num Correct,Test 2 Num Incorrect,Test 3 Num Correct,Test 3 Num Incorrect,PAT Reading 2022,PAT Reading 2022 Band,PAT Maths 2022,PAT Maths 2022 Band,PAT Reading 2021,PAT Reading 2021 Band,PAT Maths 2021,PAT Maths 2021 Band,NAPLAN 2023 Reading Score,NAPLAN 2023 Reading Proficiency,NAPLAN 2023 Writing Score,NAPLAN 2023 Writing Proficiency,NAPLAN 2023 Grammar and Punctuation Score,NAPLAN 2023 Grammar and Punctuation Proficiency,NAPLAN 2023 Spelling Score,NAPLAN 2023 Spelling Proficiency,NAPLAN 2023 Numeracy Score,NAPLAN 2023 Numeracy Proficiency,NAPLAN 2021 Reading Score,NAPLAN 2021 Reading Band,NAPLAN 2021 Writing Score,NAPLAN 2021 Writing Band,NAPLAN 2021 Grammar and Punctuation Score,NAPLAN 2021 Grammar and Punctuation Band,NAPLAN 2021 Spelling Score,NAPLAN 2021 Spelling Band,NAPLAN 2021 Numeracy Score,NAPLAN 2021 Numeracy Band
A,514103592,7ENGE,16,5,20,1,22,6,,,,,,,,,537.3,Strong,444.7,Developing,506.2,Developing,474.6,Developing,606.2,Strong,,,,,,,,,,
A,583566851,7ENGE,28,1,36,0,41,0,138.2,130-139,132.4,135-144,113.6,110-119,131.4,105-114,486,Developing,547.1,Strong,517.2,Strong,592.7,Strong,566.8,Strong,568.293,Band 7,572.9,Band 7,565.253,Band 7,553.355,Band 7,485.619,Band 6
A,147291054,7ENGH,15,1,18,0,,,,,,,,,,,486.1,Developing,520.8,Strong,534.5,Strong,556.6,Strong,492.9,Developing,,,,,,,,,,
A,870234225,7ENGH,23,2,22,2,22,4,,,,,,,,,511.9,Strong,492,Developing,522.2,Strong,447.3,Developing,396.8,Needs additional support,,,,,,,,,,
A,288935608,7ENGH,,,,,,,122.1,120-129,125.6,115-124,107.4,100-109,112.6,105-114,499.6,Developing,395.9,Needs additional support,453,Developing,447.3,Developing,498.8,Developing,391.391,Band 4,458.3,Band 5,452.91,Band 5,409.68,Band 4,418.673,Band 4
A,643845665,7ENGH,14,4,19,13,31,8,110.1,110-119,119.2,105-114,112.6,110-119,115.3,105-114,514.7,Strong,534.2,Strong,461.3,Developing,512.6,Strong,495.2,Developing,NULL,Withdrawn,NULL,Withdrawn,NULL,Withdrawn,NULL,Withdrawn,NULL,Withdrawn
A,292677831,7ENGH,25,2,27,0,40,0,,,,,,,,,495.7,Developing,547.1,Strong,550.8,Strong,561.9,Strong,471.2,Developing,,,,,,,,,,
A,442392753,7ENGH,20,3,,,30,0,,,,,,,,,460.7,Developing,460.7,Developing,533.2,Strong,531.8,Strong,502.6,Strong,,,,,,,,,,
A,453848003,7ENGH,11,2,,,18,1,110.5,110-119,128.2,105-114,113.6,110-119,117,105-114,434,Developing,460.7,Developing,398.7,Needs additional support,438.9,Developing,565.5,Strong,443.212,Band 5,401.5,Band 4,367.958,Band 3,402.177,Band 4,438.369,Band 5
A,170742324,7ENGH,21,13,34,11,24,26,100,100-109,115.8,95-104,103,100-109,109.2,95-104,417.2,Needs additional support,412.4,Needs additional support,418.9,Needs additional support,309.2,Needs additional support,463.6,Developing,363.853,Band 3,288.9,Band 2,340.573,Band 3,332.77,Band 3,373.591,Band 3
